clicks_on_domain	domain_id
109	922231
265	901262
713	602032
64	936569
409	707985
238	718274
60	517919
265	665039
105	764693
122	616
133	178
65	467
109	937395
1	7681
9	962414
275	736733
465	911647
38	866039
491	830152
5	591246
296	922239
63	842093
91	567668
5	739167
57	509988
6	732852
107	506767
13	47032
284	499650
1	626
200	872015
791	911642
169	930025
15	615894
4	702537
8	950468
211	860592
33	887173
104	976834
1	857201
61	866398
2	868930
188	736732
70	753585
10	769413
4	697291
54	53350
6	617994
95	701726
4	731576
1	518907
10	730017
5	532254
18	533894
2	871299
699	354
8	606534
20	850630
320	78345
67	793671
8	988284
16	696144
3	767708
10	694381
16	976074
27	642410
56	550843
208	797183
27	829050
47	801113
5	730015
2	732134
82	767302
5	800454
1	802320
4	864499
2	618074
1	805046
17	615377
2	600244
27	685119
4	854966
4	819305
32	890470
25	537946
1	946431
53	600365
2	572204
1	675772
1	886684
1	720522
10	619907
65	733881
9	77
174	885037
20	856044
11	753938
1	813217
8	645619
5	874904
47	745896
1	563691
41	915770
10	713002
2	801234
21	931185
4	781222
43	930600
5	928621
28	859960
6	829056
20	779189
37	766516
26	220
73	927925
267	756
23	743716
1	833967
55	565471
5	679882
36	1321
4	939543
33	739
23	920390
127	1250
10	820450
46	576383
1	822953
34	130712
252	856087
27	583549
7	191
12	865775
10	769040
2	554231
10	567576
186	759656
42	323
7	698938
95	593324
33	799967
4	736480
15	756654
13	790116
2	800616
416	709399
17	915657
7	825974
44	658580
5	805213
4	1016
49	696034
42	806032
6	699863
2	820001
57	762468
5	683527
8	702564
1	834
71	1020
9	795179
30	810285
4	712999
1	698010
1	879248
2	899917
378	363
3	885735
11	751103
20	769
7	876456
8	499
2	700576
23	782226
1	965540
3	821434
1	565320
2	486877
9	491775
8	668089
6	616000
3	622258
14	622
4	720
6	915198
5	702563
1	842
11	675
3	828771
39	798446
6	745667
1	908757
10	649175
3	955308
1	912100
1	808610
2	828831
1	209
7	500158
1	683268
4	917242
1	149251
13	897120
3	928276
52	509854
35	899354
5	845322
30	796357
9	762962
2	645109
2	809088
1	907442
1	856183
49	915147
1	68315
2	694737
15	753501
10	778903
8	951573
49	592536
3	556948
10	600142
18	94152
1	143046
3	20825
2	741364
3	743358
2	615606
16	835451
17	781279
1	327
3	561825
9	895815
12	813837
13	849541
2	751731
2	765624
70	594702
1	566994
1	88144
25	950352
16	825978
78	943606
19	53351
3	913561
2	718922
6	911650
9	522807
7	820452
1	915885
1	75430
3	668085
1	728858
7	755425
10	416
35	667306
11	742339
3	872135
2	843312
4	598167
3	854970
15	497171
13	931944
38	854553
41	521663
1	801427
15	935141
2	890221
1	753064
3	922787
3	936797
12	106644
1	948148
4	703919
2	283
10	884670
1	775593
7	653958
9	911670
1	871720
2	929688
1	940868
6	692509
8	894410
5	870177
14	980791
1	784843
1	973772
1	717539
1	155171
1	806575
2	6324
1	985360
1	578830
1	140553
2	817210
9	949403
3	708716
1	900133
11	795186
14	688371
1	837730
6	713000
2	673480
14	784658
1	928880
9	783346
1	143284
2	1518
5	941241
3	781349
4	169318
7	654233
7	747789
1	790147
1	755057
2	981129
38	606514
6	824407
3	959934
13	105
1	142192
14	795180
7	859248
8	960517
12	771710
4	837799
4	937418
12	763888
30	703165
3	702757
13	590260
3	615378
62	591455
1	843403
9	802823
11	685784
8	837523
46	1299
13	102514
13	659716
2	726861
15	558040
4	859352
20	806398
2	725260
15	714505
1	770806
