domain_id	impressions
606514	11133337
911642	3082405
691247	316750
911644	2130315
950660	189929
363	1537981
148	450026
927925	764472
930734	11191
622581	43579
112721	148749
937637	236672
597716	442399
767312	163351
874904	63783
842093	395222
791464	278978
890470	87425
491764	60440
591455	109731
500158	468918
944810	59334
893100	71453
112722	54945
220	414632
882466	19442
590260	69881
675	221782
78345	236628
541757	16235
622	56365
767302	128228
491775	52750
105	74706
327	19711
283	22822
588385	39496
219	50266
927548	6041
769413	406467
221	118956
742339	7348
925814	383
662256	11398
849843	22561
854553	16133
869786	1750
442899	65673
859238	25060
603927	20469
583328	35794
492145	65301
581474	15709
508174	2569
800	61398
591246	146210
620930	213194
522809	622156
130706	152445
617994	118864
787980	87888
546318	10258
679558	71126
603738	6464
492150	26485
870985	31408
661716	76197
694357	26795
889560	7184
934617	193
758729	29289
208676	1906
928880	23401
688391	10766
837526	19525
729342	51703
540518	42378
803369	16326
875727	6412
886738	12778
719785	6160
891889	60213
907177	1357
825978	5741
523712	9254
924801	1335
959445	21584
589557	392
876125	7431
837523	18921
1316	2261
891325	41574
903143	4421
540458	379
552020	10149
950663	41061
970115	5348
872652	7667
877688	6457
873964	2949
934956	5796
506012	344
491989	6296
950664	3085
376	10452
659995	4649
591413	1963
548132	15827
694381	19037
868930	10424
809115	737
598167	20515
775815	6575
600244	7971
988284	8658
499	2100
899577	6413
876984	3618
662248	5530
772910	11069
661691	4843
766659	5409
931442	134
661720	2223
647566	1190
530608	1237
753501	916
224440	7842
897885	1183
871485	768
606534	6465
514710	4308
870642	1211
698658	619
540111	5920
816006	28
872074	5649
929127	2820
902741	600
876441	1840
917623	273
935962	1006
920608	2200
932089	1249
724524	3684
868859	911
259	4199
937594	2786
914677	738
872836	2004
541759	7332
884154	2033
523076	5675
332	971
18	2579
948357	1044
804432	2073
855960	89
610413	882
907481	309
580699	1527
961347	1428
916231	438
849598	741
909119	381
775492	511
921164	1210
929328	1436
914005	464
580027	1155
514712	2542
917084	153
961961	1490
626	795
94149	1291
871068	684
910767	421
1017	1259
896534	412
937633	77
872163	105
876754	150
894201	310
950526	288
875125	17
896380	172
845929	595
897721	56
592975	410
855737	355
555244	833
873202	235
582206	808
869385	603
870270	11
767313	21
522844	239
955765	1037
889145	1268
848365	1728
875353	1091
871314	76
869050	250
876726	779
857988	117
855008	69
944639	139
876491	231
891649	565
902342	86
805829	342
938650	316
871360	34
951954	131
985615	425
912341	552
896234	252
901018	435
872203	150
878872	81
895226	1120
974439	160
870738	378
949948	195
888667	573
961356	95
937662	1015
869838	228
956164	100
800411	110
922366	197
921821	16
936637	133
927199	205
889450	26
913802	159
962883	155
889298	20
915888	1432
569	130
872064	166
886690	121
488923	22
881398	11
873486	61
976391	202
771855	74
919737	56
949337	127
883319	131
24	85
928551	164
918204	69
875403	79
953821	563
932952	12
986563	191
872369	132
924470	208
870851	12
694366	368
894851	34
986532	91
951397	91
978363	46
937656	6
1215	23
898201	18
912239	270
894407	68
885177	43
909287	185
534668	25
948525	111
958730	106
987898	79
942756	65
940040	212
886084	5
896688	44
965885	16
891636	50
939575	40
878122	51
691781	142
964416	151
899216	31
922358	46
897254	2
882426	6
945384	29
581347	1
894260	40
961437	53
879825	5
936611	18
928518	21
886678	28
902811	23
886931	6
927243	30
888966	2
939604	8
940480	24
21	9
923933	72
952429	9
928336	19
1320	30
927798	2
928374	1
898187	2
903094	29
913620	21
585851	5
724165	7
941251	32
966589	3
761141	15
885806	22
960769	58
859104	4
590208	3
903322	1
963490	2
964666	2
872752	1
919569	3
506014	2
868749	4
895667	6
902482	16
906421	1
874794	10
974385	4
944141	4
968332	8
891939	1
891117	9
889533	11
224434	2
937660	1
772663	4
987155	8
963312	2
889702	5
918176	1
888669	1
