domain_id	sum(order_amount)
922231	824763
901262	1173609
602032	3077662
936569	755983
707985	4440318
718274	1788823
517919	689810
665039	2544522
764693	433539
616	789693
178	690060
467	196608
937395	121362
7681	981
962414	74903
736733	3466869
911647	1114274
866039	238576
830152	5040146
591246	23952
922239	242429
842093	121320
567668	377863
739167	15542
509988	444927
732852	4775
506767	412393
47032	123758
499650	1600852
626	0
872015	1956995
911642	718579
930025	1863773
615894	105500
702537	26061
950468	62027
860592	554405
887173	391315
976834	192703
857201	3448
866398	20703
868930	12300
736732	2235922
753585	1175972
769413	22217
697291	935
53350	1319847
617994	16200
701726	1341373
731576	17702
518907	2243
730017	82007
532254	45361
533894	207827
871299	9220
354	968240
606534	0
850630	0
78345	129077
793671	598
988284	0
696144	0
767708	0
694381	3093
976074	22434
642410	12668
550843	16582
797183	2072
829050	0
801113	128698
730015	0
732134	0
767302	1954
800454	0
802320	0
864499	2273
618074	0
805046	0
615377	0
600244	0
685119	13785
854966	0
819305	10566
890470	0
537946	97894
946431	0
600365	21483
572204	0
675772	0
886684	1677
720522	1599
619907	6144
733881	639651
77	55515
885037	1427945
856044	62524
753938	34231
813217	2239
645619	28058
874904	21810
745896	367914
563691	10802
915770	287078
713002	11949
801234	3943
931185	162350
781222	12642
930600	457234
928621	9360
859960	168151
829056	2212
779189	482866
766516	395528
220	70325
927925	399350
756	1813919
743716	647307
833967	2099
565471	246545
679882	20100
1321	19891432
939543	400
739	8906
920390	72417
1250	521505
820450	99462
576383	108555
822953	1049
130712	275392
856087	186365
583549	114792
191	10763
865775	144076
769040	18665
554231	3411
567576	44210
759656	2232137
323	62398
698938	600
593324	254664
799967	15037
736480	799
756654	209109
790116	149594
800616	5200
709399	10836616
915657	139013
825974	32821
658580	319146
805213	8862
1016	7409
696034	331880
806032	74485
699863	18202
820001	31666
762468	360923
683527	19372
702564	847
834	764
1020	575049
795179	21874
810285	349008
712999	5259
698010	4598
879248	9414
899917	61417
363	262643
885735	25687
751103	12564
769	60247
876456	46626
499	14186
700576	9748
782226	83668
965540	5000
821434	67597
565320	4167
486877	59799
491775	148275
668089	85587
616000	20347
622258	6222
622	185281
720	14937
915198	7082
702563	26551
842	299
675	86924
828771	14923
798446	173519
745667	2720
908757	0
649175	2040
955308	1780
912100	913
808610	8999
828831	7349
209	0
500158	14894
683268	5378
917242	894
149251	6886
897120	57979
928276	56409
509854	356498
899354	0
845322	242
796357	78262
762962	16948
645109	13987
809088	122
907442	61
856183	1211
915147	282270
68315	343
694737	6507
753501	44990
778903	113187
951573	47117
592536	290448
556948	0
600142	23339
94152	26481
143046	0
20825	0
741364	0
743358	0
615606	919
835451	23799
781279	137048
327	6359
561825	7435
895815	40570
813837	131111
849541	54493
751731	367
765624	3486
594702	245892
566994	2449
88144	0
950352	211494
825978	1135489
943606	64965
53351	67457
913561	17091
718922	40703
911650	58651
522807	18466
820452	51690
915885	3739
75430	23682
668085	1081
728858	1348
755425	75149
416	108275
667306	393333
742339	63350
872135	26984
843312	4636
598167	23060
854970	9058
497171	27155
931944	161198
854553	1787
521663	0
801427	5234
935141	124227
890221	24579
753064	686
922787	21741
936797	6129
106644	10220
948148	796
703919	8944
283	3701
884670	10739
775593	0
653958	16304
911670	14170
871720	12400
929688	15808
940868	2400
692509	25613
894410	51824
870177	59034
980791	71540
784843	4700
973772	10348
717539	3600
155171	2320
806575	492
6324	0
985360	199
578830	6000
140553	0
817210	18704
949403	38301
708716	2970
900133	0
795186	90075
688371	25893
837730	0
713000	16294
673480	23600
784658	151169
928880	5859
783346	20026
143284	3999
1518	10267
941241	1666
781349	797
169318	0
654233	9922
747789	2499
790147	335
755057	8255
981129	707
606514	222319
824407	60094
959934	4055
105	152001
142192	2495
795180	1193565
859248	23664
960517	133444
771710	58124
837799	11658
937418	0
763888	26040
703165	0
702757	0
590260	6494
615378	0
591455	66454
843403	0
802823	3900
685784	1398
837523	0
1299	45769
102514	14993
659716	0
726861	0
558040	71511
859352	0
806398	111830
725260	0
714505	0
770806	0
